subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,VGG16,39.174240968665295,0.4235904070795799,39.59783137574488,64.01785721584243,63.80208134651184,59.53124761581421,66.14583134651184,49.60937201976776,76.06770694255829,63.05546213169488,63.479626178741455,56.59043788909912,66.16345643997192,42.23091006278992,80.52298426628113,62.971088472677735,62.968748807907104,56.99999928474426,66.19791388511658,43.20312738418579,79.99478578567505,63.416241261423856,63.85416388511658,58.17708373069763,66.51041507720947,45.67708671092987,79.01041209697723,63.35381427589728,63.32435607910156,58.48957896232605,66.16003513336182,46.9838947057724,77.66571938991547,66.98653795281236,68.36826801300049,58.40672254562378,72.12457060813904,37.82995045185089,92.70134270191193,63.40726796461611,63.44056725502014,58.20419788360596,66.2223219871521,46.17701172828674,78.24950814247131,26.82212723647149,26.888036727905263,16.456012427806847,32.349327206611626,-7.38395974040032,56.1892993748188,54.42176874803037,51.249998807907104,50.0,58.125001192092896,37.81249821186066,70.31250298023224,55.97099783469219,51.45089030265808,50.0,55.62043786048889,41.56934320926666,64.05109465122223,56.52210879168113,50.833332538604736,50.0,66.25000238418579,25.62499642372132,90.62500596046448,50.37840161738652,50.0,45.83333432674408,52.70833373069763,35.52083522081375,63.02083283662796,51.32192865641293,50.82051157951355,50.0,65.05951285362244,27.410730719566345,87.64878213405609,58.19044976818319,57.85112380981445,50.0,62.68793940544128,30.96809089183808,81.71984851360321,51.19616857596806,50.289857387542725,50.0,52.56337523460388,46.15493714809418,56.408438086509705,7.278324541996933,4.34113889932632,0.0,10.36000549793243,-15.540008246898646,25.900013744831075
10,DL,VGG16,42.13217217581613,0.4354034394634013,42.56757561527953,64.04230497321304,64.42708373069763,58.17708373069763,69.16666626930237,41.69270992279053,85.65104007720947,63.19619648310603,64.0350878238678,56.168967485427856,69.1428542137146,36.70813739299774,88.60368430614471,63.19515303689607,64.27083611488342,55.541664361953735,69.32291388511658,34.86979007720947,89.99478816986084,63.497024044698605,63.80208134651184,57.23958611488342,69.0625011920929,39.505213499069214,86.7968738079071,63.45823699114273,63.91048431396485,56.81094527244568,69.24242377281189,38.16372752189636,87.8896415233612,67.70702223388516,69.13996934890747,57.41002559661865,75.63630938529968,30.070599913597107,102.97573506832124,63.518043683499705,63.94165754318237,56.91125392913818,69.22393441200256,38.442233204841614,87.69295513629913,27.020936436495003,28.295239806175232,13.79392594099044,38.38971853256225,-23.09976294636728,75.28340741991997,55.78656452042716,53.958332538604736,50.0,61.04166507720947,33.43750238418579,77.60416269302368,54.510724057956615,53.50877046585083,50.0,61.06346249580383,33.40480625629425,77.65865623950958,51.29251702289496,50.62500238418579,50.0,62.5,31.25,81.25,57.82312918074277,52.70833373069763,50.0,68.33333373069763,22.499999403953552,95.83333432674408,48.83640839205105,50.64516067504883,50.0,62.91666030883789,30.625009536743164,82.29165077209473,58.84340916361127,58.14019441604614,50.0,65.73524475097656,26.39713287353516,89.3381118774414,52.67424610804539,50.98039507865906,50.0,57.98870921134949,38.01693618297577,69.97177302837372,9.502195308403092,6.08891583979129,0.0,16.81611686944961,-25.224175304174413,42.04029217362402
15,DL,VGG16,42.79909059952716,0.4384000787929613,43.23749067832012,65.74085914358801,64.84375,60.9375,67.60416626930237,50.93750059604645,77.60416567325592,65.13446849219653,64.44099545478821,59.759289026260376,67.42976307868958,48.25357794761658,78.93547415733337,65.1133078701642,64.21874761581421,59.53124761581421,67.5000011920929,47.57811725139618,79.45313155651093,65.24234706041764,64.58333134651184,59.94791388511658,67.39583611488342,48.77603054046631,78.56771945953369,65.18709696069055,64.46420550346375,59.54079031944275,67.46430993080139,47.65551090240479,79.34958934783936,69.80924204904207,68.82253289222717,63.99587392807007,72.892826795578,50.65044462680817,86.2382560968399,65.24848755525083,64.53911662101746,59.76656675338745,67.4679160118103,48.21454286575317,79.01993989944458,30.47956319487825,29.107126593589783,19.47214901447296,34.89791750907898,-3.666503727436074,58.03657025098801,56.04591880525861,56.04166388511658,50.62500238418579,60.208332538604736,36.25000715255737,74.58332777023315,55.12845437137448,53.02245020866394,50.0,61.56716346740723,32.64925479888916,78.91790866851807,49.460034100433845,50.0,38.7499988079071,60.208332538604736,6.56249821186064,92.3958331346512,59.630101927727154,56.87500238418579,50.0,73.95833134651184,14.06250298023224,109.8958283662796,47.7110645515198,50.0,46.26420140266418,61.25398278236389,23.77952933311461,83.73865485191347,59.67345128254015,60.55837869644165,55.68315982818604,63.26497197151184,44.31044161319733,74.63769018650055,51.24838641103433,52.291667461395264,50.0,56.60355091094971,40.09467363357544,66.50887727737427,9.173153642070837,5.386646464467041,0.0,13.91675919294357,-20.875138789415352,34.79189798235892
20,DL,VGG16,40.22286364010402,0.4384487988997478,40.66131243900377,62.50000024328426,62.447917461395264,55.05208373069763,67.39583611488342,36.53645515441895,85.91146469116211,61.802274475292286,62.079668045043945,53.535354137420654,67.28681921958923,32.908156514167786,87.9140168428421,61.83673465738491,62.39583492279053,53.50000262260437,67.81250238418579,32.03125298023224,89.28125202655792,61.96747470875176,61.82291507720947,54.47916388511658,67.03125238418579,35.65103113651276,85.85938513278961,61.99654140034501,62.27778792381287,54.378753900527954,67.56452918052673,34.600090980529785,87.3431921005249,65.5195981872325,66.17904901504517,54.35504913330078,73.02151322364807,26.35535299777985,101.021209359169,62.04243168538931,62.26060390472412,54.36016917228699,67.52533316612244,34.61242318153381,87.27307915687561,24.072421955096782,24.34748262166977,8.802413195371619,34.84851121902466,-30.26673384010794,73.91765825450423,54.76190496464165,52.291667461395264,50.0,59.375,35.9375,73.4375,50.766899877665,52.291667461395264,50.0,55.36627173423767,41.95059239864349,63.41567933559418,53.00170055457524,50.0,50.0,63.95833492279053,29.06249761581421,84.89583730697632,54.91496599754508,50.0,50.0,63.12500238418579,30.31249642372132,82.81250596046448,50.13202716197286,51.00529193878174,50.0,60.94186902046204,33.587196469306946,77.35467255115509,57.70893510507078,57.79817700386048,50.0,62.21680045127869,31.67479932308197,80.54200112819672,53.10803846437104,51.43116116523743,50.0,57.388049364089966,38.91792595386505,68.47012341022491,8.184391030167436,4.63698618113994,0.0,13.119612634181973,-19.67941895127296,32.79903158545493
25,DL,VGG16,40.90633529546309,0.4204397542136056,41.3267750496767,61.83035738614141,61.82291507720947,55.520832538604736,66.82291626930237,38.56770694255829,83.77604186534882,61.07334032350656,61.82008385658264,53.52172255516052,66.63217544555664,33.856043219566345,86.29785478115082,61.06887727367635,61.56250238418579,52.95833349227905,67.08333492279053,31.77083134651184,88.27083706855774,61.27657276027057,61.51041388511658,54.27083373069763,66.40625,36.06770932674408,84.60937440395355,61.18922495112127,61.63429617881775,53.89848351478577,66.86154007911682,34.453898668289185,86.3061249256134,64.51951691082546,65.18391966819763,54.11617159843445,71.58899903297424,27.90693044662476,97.79824018478394,61.28845743987025,61.80943250656128,53.90346646308899,66.8488085269928,34.48545336723328,86.26682162284851,22.54419242773129,23.57298880815506,7.73451030254364,33.49481225013733,-30.905942618846893,72.13526517152786,54.93622458710963,51.45833492279053,50.0,59.375,35.9375,73.4375,51.97422686888247,51.36268138885498,50.0,56.091368198394775,40.86294770240784,65.22842049598694,61.25425185476031,51.04166865348816,50.0,86.87499761581421,-5.3124964237213135,142.18749403953552,46.1394557681847,50.0,27.500000596046448,58.74999761581421,-19.3749949336052,105.62499314546584,53.973868185160114,51.07571482658386,50.0,66.66666269302368,25.00000596046448,91.6666567325592,58.3439536240636,58.64670276641846,50.0,64.63150978088379,28.05273532867432,86.57877445220947,48.04871660106036,52.03282833099365,50.0,56.460607051849365,40.30908942222595,66.15151762962341,7.59282085892497,3.28071899712085,0.0,11.02575287222862,-16.538629308342927,27.564382180571545
30,DL,VGG16,39.67333983888432,0.4245713049051713,40.09791114378949,61.36798463305648,60.31249761581421,53.54166626930237,66.7187511920929,33.77603888511658,86.48437857627869,61.15506662397968,60.14127135276794,52.9707133769989,66.64929389953613,32.452842593193054,87.16716468334198,61.13775536722067,60.52083373069763,52.8333306312561,66.61458611488342,32.161447405815125,87.2864693403244,61.11181986575224,59.687501192092896,52.91666388511658,66.66666865348816,32.291656732559204,87.29167580604553,61.02245529087222,60.48487424850464,52.57374048233032,66.64407849311829,31.468233466148376,87.74958550930023,64.58469623205613,63.74706625938416,53.69237661361694,71.92854881286621,26.33811831474304,99.28280711174013,61.13466930632688,60.53200960159302,52.6494026184082,66.60556197166443,31.715163588523865,87.53980100154877,22.220391715515632,20.95353901386261,5.22586666047573,33.28764140605926,-36.86679545789956,75.38030352443454,54.90646289319409,50.62500238418579,50.0,59.79166626930237,35.31250059604645,74.47916567325592,51.609957643917625,50.0,50.0,58.26210975646973,37.60683536529541,70.65527439117432,57.12159862931894,50.0,50.0,70.41666507720947,19.37500238418579,101.04166269302368,50.14455783066853,50.0,47.70833253860473,62.70833611488342,25.208327174186696,85.20834147930147,51.03720942017983,50.0,50.0,66.5531575679779,25.170263648033146,91.38289391994476,57.75629318490321,55.02191185951233,50.0,64.12001252174377,28.81998121738434,85.30003130435944,49.10754053568353,50.0,50.0,55.62956929206848,41.55564606189728,64.0739232301712,7.639675756336703,0.0,0.0,10.82042083144187,-16.230631247162805,27.05105207860468
35,DL,VGG16,43.356852074058686,0.431762442296865,43.78861451635555,62.58928605488369,62.86458373069763,54.53125238418579,68.02083253860474,34.29688215255737,88.25520277023315,62.16872675078256,62.94363141059876,53.87484431266785,68.02083253860474,32.65586197376251,89.23981487751007,62.27678620085424,62.812501192092896,54.00000214576721,68.02083253860474,32.968756556510925,89.05207812786102,62.059948638993866,63.02083134651184,53.28124761581421,68.02083253860474,31.17187023162841,90.13020992279051,62.16613589500894,62.84257769584656,54.20002341270447,68.02139282226562,33.46796929836273,88.75344693660736,65.93555260677726,67.65685081481934,54.867810010910034,74.23794865608215,25.81260204315185,103.29315662384032,62.18437345660463,62.83572316169739,54.4369637966156,68.01981329917908,34.062689542770386,88.39408755302429,24.35276945862843,25.83883404731749,8.586464822292319,36.04227602481842,-32.59725198149683,77.22599282860759,55.47619036265782,52.49999761581421,50.0,58.95833373069763,36.56249940395355,72.39583432674408,51.54770211297639,51.04166865348816,50.0,55.93803524971008,41.09294712543488,64.84508812427521,54.77040832748219,50.62500238418579,50.0,63.749998807907104,29.375001788139343,84.37499701976776,53.89455775920378,50.0,50.0,65.41666388511658,26.87500417232513,88.54165971279144,51.76442010062081,50.64548850059509,50.0,62.33763098716736,31.49355351924896,80.8440774679184,58.75642591593216,58.30230116844177,50.0,63.31684589385986,30.024731159210205,83.29211473464966,50.37007663322954,50.0,50.0,55.8793842792511,41.18092358112335,64.69846069812775,8.554798151765548,2.0833333954215,0.0,13.52553069591522,-20.288296043872823,33.81382673978804
40,DL,VGG16,39.19651321975552,0.4210988502113186,39.61761206996684,61.55718492001904,61.04166507720947,53.958332538604736,66.56249761581421,35.05208492279053,85.46874523162842,60.94260039378185,60.258400440216064,52.44205594062805,66.14745855331421,31.883952021598816,86.70556247234344,60.98639429831992,60.104167461395264,52.91666388511658,66.35416746139526,32.76040852069855,86.5104228258133,60.98107993602753,59.94791388511658,52.70833373069763,66.04166626930237,32.70833492279053,86.04166507720947,61.01723313331604,60.48802137374878,53.21087837219238,66.23775959014893,33.67055654525757,85.77808141708374,64.16418509823936,64.66196179389954,52.73844003677368,70.87525725364685,25.533214211463928,98.0804830789566,61.06754547479202,60.35058498382568,53.13149690628052,66.27631783485413,33.414265513420105,85.99354922771454,22.118385377154706,20.70577740669249,6.16949014365673,32.41312205791473,-33.19595772773026,71.77856992930171,56.46683695364971,51.66666507720947,50.0,62.5,31.25,81.25,53.21884045795519,51.13759636878967,50.0,60.64516305923462,34.03225541114807,76.61290764808655,53.55442179823105,50.0,50.0,68.54166388511658,22.18750417232513,96.35415971279144,56.43707488530448,50.0,50.0,71.45833373069763,17.812499403953552,103.64583432674408,50.47199147164213,50.0,50.0,64.94230031967163,27.58654952049256,87.35575079917908,59.51181175757427,57.93185830116272,50.0,67.45702624320984,23.81446063518524,93.6425656080246,53.68607786236977,50.40404200553894,50.0,60.2016806602478,34.697479009628296,75.5042016506195,10.491858809540162,2.98414602875709,0.0,20.11018097400665,-30.16527146100997,50.27545243501662
45,DL,VGG16,34.70214319229126,0.4376478146533576,35.13979100694462,59.09970220254392,55.20833134651184,53.125,66.19791388511658,33.515629172325134,85.80728471279144,58.56571611093016,55.18091917037964,51.96687579154968,66.06311202049255,30.822521448135376,87.20746636390686,58.60650484659233,55.79166412353516,52.16666460037232,66.45833253860474,30.72916269302368,87.89583444595337,58.55548460872806,54.635417461395264,51.875001192092896,65.83333611488342,30.937498807907104,86.77083849906921,58.559584252688346,54.6036422252655,51.89095735549927,66.27864241600037,30.30942976474762,87.86017000675201,61.36418702651043,57.96782970428467,52.38704681396485,70.56122422218323,25.125780701637268,97.8224903345108,58.65385094467474,54.30148243904114,52.199262380599976,66.23290181159973,31.148803234100345,87.28336095809937,17.258453452769583,8.53063091635704,4.33961227536201,32.36373364925384,-37.69656978547574,74.39991571009159,52.99744897959183,50.0,50.0,54.374998807907104,43.43750178813934,60.93749701976776,51.47850239763454,50.0,50.0,55.06912469863892,42.396312952041626,62.67281174659729,48.09523837602868,50.0,46.875,50.0,42.1875,54.6875,57.29591857109752,50.0,50.0,64.79166746139526,27.812498807907104,86.97916865348816,47.38505640048153,50.0,49.50264692306518,50.51282048225403,47.98738658428191,52.02808082103731,55.68641898583393,52.76020169258118,50.0,59.875428676605225,35.18685698509216,74.68857169151306,50.70408266417834,50.0,50.0,55.43310046195984,41.85034930706024,63.5827511548996,5.377372719195423,0.0,0.0,8.95130783319473,-13.426961749792094,22.378269582986825
